tile,art_index,score,wscore,confidence,cells_scored,live,informative,rank,margin,best_score_index,notes
216,216,0.9392,0.8961,high,9,True,True,2,-0.0017,218,
217,217,0.9167,0.8546,low,9,True,True,23,-0.0069,154,identity ranks 23 of 256
218,218,0.9444,0.8981,high,9,True,True,1,0.0052,218,
219,219,0.7743,0.6424,low,9,True,True,57,-0.0885,244,identity ranks 57 of 256; index 244 beats identity by 0.089
220,220,0.967,0.9395,high,9,True,True,1,0.0226,220,
221,221,0.8371,0.8379,low,7,True,True,39,-0.0424,19,identity ranks 39 of 256
222,222,0.9392,0.8961,high,9,True,True,1,0.0035,222,
223,223,0.7285,0.6287,unmatched,8,True,True,112,-0.0801,244,identity ranks 112 of 256; index 244 beats identity by 0.080
224,224,0.9392,0.8961,high,9,True,True,1,0.0035,224,
225,225,0.9392,0.8742,high,9,True,True,1,0.0,225,
226,226,0.9392,0.8742,high,9,True,True,1,0.0,225,
227,,,,unmatched,0,True,False,,,,"all cells masked (glyphs $55/$66); unscoreable by construction, not a failure"
228,228,0.9844,0.9531,low,6,True,True,20,-0.0052,0,identity ranks 20 of 256
229,229,0.9714,0.957,low,6,True,True,20,-0.013,154,identity ranks 20 of 256
230,230,0.9844,0.9844,high,6,True,True,1,0.0156,230,
231,231,0.9844,0.9844,high,6,True,True,1,0.0156,231,
232,232,0.9766,0.9531,low,6,True,True,20,-0.013,154,identity ranks 20 of 256
233,233,0.9792,0.9583,low,6,True,True,20,-0.0104,154,identity ranks 20 of 256
234,234,0.9844,0.9844,high,6,True,True,1,0.0156,234,
235,235,0.9844,0.9844,high,6,True,True,1,0.0156,235,
236,236,0.9219,0.8938,high,8,True,True,1,0.0,0,
237,237,0.942,0.9111,high,7,True,True,1,0.0,0,
238,238,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
239,239,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
